PWK	C57	AJ	129	WSB	CAS	NZO	NOD
Serpina1c	1.65	1.51	1.59	0.86	1.3	1.18	1.39	1.14
Fgb	1.4	1.5	1.62	0.91	0.48	0.66	2.13	1.24
Sars	0.78	0.66	0.73	-0.22	0.99	0.84	0.45	0.9
Plekho1	0.9	1.49	1.47	-0.18	1.59	0.85	0.78	1.14
Apobec2	0.84	1.48	1.2	0.16	1.49	1.02	1.05	0.69
Ecm1	1.07	1.47	0.99	0.34	0.66	0.76	1.62	1.04
Hk2	0.71	0.67	1.1	0.08	1.02	0.72	0.91	0.8
Mccc1	1.24	1.45	1.18	0.43	0.91	1.01	1.41	1.09
Ifi204	1.16	1.45	1.02	-0.07	1.11	1.31	1.01	0.94
Gapdh	1.16	1.44	0.92	0.04	1.28	1.61	0.94	0.85
Echs1	1.18	0.69	0.99	-0.05	0.96	0.72	0.56	1.01
Tuba4a	1.28	0.69	1.06	-0.02	0.76	0.92	0.88	1.2
Ighg2b	1.57	1.42	1.4	0.18	1.54	1.96	1.01	0.89
Ralgapa2	0.81	1.42	0.95	-0.22	1.01	1.26	0.75	1.04
Sdhb	1.53	1.41	1.46	0.87	1.04	0.82	3.71	0.89
Slc25a40	0.9	0.71	0.78	0.02	0.85	0.83	1.12	0.99
Top3b	0.98	1.4	1.08	0.05	1.03	1.02	1.05	0.99
Fis1	1.36	1.4	1.29	0.37	1.22	0.88	2.05	0.89
Npepl1	1.08	0.71	1.18	0.65	0.76	0.76	1.26	1.03
Bcat2	0.94	1.4	1.14	0.06	0.69	0.73	0.9	1.17
Slc25a3	1.07	0.71	0.96	-0.2	0.97	1.1	0.89	1.07
Zeb2	0.72	1.39	0.96	-0.58	1.03	1.14	0.73	1.01
Tppp3	1.01	0.71	0.93	0.15	0.99	0.64	0.63	0.92
Cnot1	1.21	0.72	1.04	0.18	1.01	1.02	0.96	1.12
Sdhc	1.47	1.38	1.45	0.76	1.19	0.84	2.82	0.97
Reep5	1.3	1.38	1.18	0.33	1.1	0.89	2.07	0.94
Gpx4	1.06	0.72	1.02	0.17	1.09	1.08	0.97	0.96
Ahnak2	0.94	0.72	0.92	-0.23	0.81	0.98	1.16	1
S100a10	0.98	0.72	1.07	-0.23	1.07	1.03	1.15	0.96
Sdha	1.46	1.37	1.39	0.82	0.98	0.86	3.13	0.9
Ndufv3	0.8	0.73	1.29	0.52	0.87	0.69	2.91	0.78
Serpina3m	1.3	1.36	1.29	0.37	1.02	1.06	1.3	1.09
Ankrd11	1.04	0.74	0.58	0.01	1.26	1.47	0.62	1.06
Dpf3	1.06	1.35	0.64	-0.83	1.18	1.2	0.62	1.01
Tmod4	1.1	1.35	1.12	0.22	1.03	0.94	0.94	1.06
Hk1	0.81	0.74	0.97	0.07	0.96	0.8	0.92	0.88
Igkc	1.57	1.34	1.1	0.71	1.35	1.32	1.82	0.86
Myl1	1.15	0.75	0.76	0.17	0.93	0.92	0.8	1.09
Ldb3	1.1	1.34	1.2	0.06	1.28	1.2	0.95	1.1
Zbed5	0.91	1.34	1.07	0.08	0.74	1.08	1.01	1.08
Pzp	1.14	1.34	1.61	1.1	0.67	0.82	1.77	1.17
Mpc1	0.98	0.75	1.08	0.25	1	0.92	1.02	1.02
Hdac6	0.83	1.34	0.93	-0.21	1.25	1.24	1.12	1.12
Rdh14	0.9	0.75	1.24	0.51	0.92	0.81	1.29	1.12
Tubb4b	1.15	0.75	1.07	-0.04	0.8	0.94	0.93	1.11
Acad8	1.1	1.33	1.09	0.37	1.1	1.46	0.82	1.18
Vim	1.17	0.75	0.9	-0.16	0.87	1.05	1.07	1.03
Ivd	1.19	1.32	0.99	0.21	0.88	0.78	0.91	1.27
Cyb5a	1.12	1.32	1.33	0.5	1.13	1.09	2.1	0.8
Acadvl	1.12	0.76	0.9	-0.4	0.97	0.89	0.75	1.06
Ngp	0.95	1.31	0.84	0.63	0.8	2.12	2.09	1.07
Canx	1.34	1.31	1.5	0.01	0.98	0.86	1.98	0.92
Plekha5	0.72	1.31	0.69	-0.45	1.19	1.01	0.67	0.77
Cltb	0.97	0.77	0.97	-0.02	1	0.86	1.52	0.95
Idh3b	1.37	1.31	1.1	0.14	0.99	1.1	1.18	1.22
Alg9	1.03	1.31	1.16	-0.32	0.9	1.28	0.61	0.85
Ank2	1.11	0.77	1.23	-0.37	0.77	1.01	0.63	1.1
Erp29	1.21	1.3	1.29	0.54	1.05	0.89	1.46	1.07
Ank3	1.14	1.3	0.97	-0.11	0.94	0.95	1.11	0.92
Shroom4	1.04	0.77	0.87	-0.16	0.84	0.81	0.78	1.1
Taf15	0.72	1.29	0.95	-0.2	1.48	1.37	0.72	1.01
Ndrg2	1.12	1.29	1.17	-0.11	0.98	0.96	1.24	0.86
Trim3	1	0.78	0.73	0.28	0.71	0.82	1.17	1
Idh3g	1.75	1.29	1.28	0.69	0.96	0.84	1.23	1.36
Myl7	1.05	1.29	1.35	0.1	0.74	0.74	0.93	1.22
Echdc3	1.13	0.78	0.97	0.15	0.87	1.03	0.89	0.95
Mpc2	1.03	0.78	1.02	0.08	1.02	1.04	0.88	1.06
Slc25a1	1.03	0.78	0.95	-0.13	0.84	0.97	0.79	1.08
Hdgfl2	0.93	0.78	0.98	-0.19	0.89	0.94	0.75	1.06
Hspg2	1.04	0.79	0.99	0.46	0.99	0.85	1.59	1.08
Tuba1b	1.27	0.79	1.13	0.04	0.73	0.93	0.89	1.12
Trip6	0.97	0.79	0.93	0.18	1.17	1.11	0.99	0.99
Eif5a	1.79	1.28	1.4	0.67	1	0.94	1.35	1.08
Bzw2	0.98	0.79	0.99	-0.18	0.94	1	0.74	1.08
Zc3hav1	0.83	0.79	0.9	-0.16	1.04	0.97	0.91	0.96
Pde4dip	0.98	0.79	0.85	0.18	1.02	0.81	1.24	1.03
Plpbp	0.75	0.79	0.95	0.96	1.45	0.93	0.67	1.09
Dut	1.15	0.79	1.11	-0.2	0.91	1.08	0.73	1.05
Rai14	1.01	0.79	0.95	-0.08	1.16	1.3	1.14	0.92
Tox4	1.01	1.27	0.85	-0.21	1	1.04	0.76	0.89
Ddx27	1.03	1.27	1.26	-0.05	1.13	1.02	1.02	1.02
Mp68	1.05	0.79	1.06	-0.02	1.04	1.09	0.84	1.05
Ddx56	0.98	1.27	0.94	-0.18	0.94	1.12	0.81	0.99
Exoc8	0.96	1.27	1.05	-0.3	1.01	0.91	1.02	1.06
Cox5a	1.28	0.8	1.56	0.48	0.95	0.84	1.48	0.84
Nucks1	0.76	0.8	0.7	-0.22	0.84	1.03	0.57	1.39
Sept6	1.01	0.8	0.9	0.09	0.91	0.83	1.01	1.16
Fhl2	1.07	1.26	0.96	0.49	1.02	1.12	0.87	1.09
Cox7c	1.02	0.8	1.6	0.42	0.94	1.01	1.38	0.83
Cpt1b	1.15	1.26	1.06	0.1	1.05	1.15	0.96	1.09
Ndufv3.1	0.94	0.8	1.09	0.29	0.92	0.92	1.39	0.95
Vwa8	1.09	1.26	0.97	0.18	1.04	0.94	0.86	1.01
Scp2	1.44	1.26	0.82	0.41	0.85	1.43	1.03	1.31
Fn1	1.16	1.26	1.06	0.33	0.64	1.1	1.59	1.01
Slc25a4	1.03	0.8	1.11	0.02	1.05	0.98	0.94	1.05
Ak2	0.96	0.8	1.05	-0.07	0.89	0.93	0.78	1.05
Atad1	0.92	0.8	1.09	0.05	0.96	0.93	0.98	0.97
Pgm1	1.48	1.25	1.04	0.36	0.82	0.78	1.03	1.48
Col14a1	0.83	0.8	0.79	-0.66	0.89	0.93	0.66	0.94
Agl	0.89	0.8	1.08	0.43	1.01	0.76	1.16	1.07
Hars	1.03	0.8	0.89	0	0.93	0.99	0.79	1
F13a1	1.01	1.25	1.12	0.72	0.56	0.65	1.4	1.06
Tpm2.1	1.02	0.81	1.06	-0.07	0.89	0.94	1.35	1.05
Sh3bgrl	0.94	0.81	0.85	-0.47	1.33	1.4	0.74	0.82
Ppp1r8	0.95	1.25	0.91	-0.08	1.18	1.08	0.9	1.17
Mcpt4	0.92	1.25	0.98	-0.2	0.93	0.89	1.06	1.06
Decr1	1.25	1.25	1.1	0.12	1.07	1.07	0.9	1.21
Rpa1	1.41	0.81	1.09	-0.18	1.34	0.93	0.68	0.93
Ptprm	0.86	1.25	0.95	-0.5	1.11	0.98	0.91	0.88
Mybpc3	0.95	1.25	1.04	-0.13	1.07	1.03	0.9	0.9
Aldh4a1	1.68	1.25	0.93	0.2	0.7	0.84	0.87	1.29
Mug1	1	1.24	1.18	0.3	1.15	1.07	1.14	1.28
Tmem41b	5.22	0.81	0.81	-0.07	1.07	4.01	0.93	0.85
Gp1ba	1.46	0.81	1.03	0.58	0.68	0.82	0.82	1.16
Btnl9	1.03	1.24	0.91	0.18	0.87	1.21	0.91	1.19
Abcb10	1.01	0.81	1.09	0.18	0.91	0.97	1.1	1.07
Sec23a	1.01	1.24	0.98	-0.12	1.13	0.92	1.14	1.21
Adnp	0.87	1.24	0.88	-0.11	0.93	1.12	0.78	0.86
Stom	1.15	1.24	1.09	0.37	0.99	0.99	1.21	1.06
Tubb5	1.24	0.82	1.06	0	0.92	0.97	0.89	1.03
Pacs1	1.12	1.24	0.97	-0.1	1	1.04	0.93	1.1
Inpp5a	0.96	0.82	1.21	0.29	0.96	0.89	1.47	0.96
Cgnl1	1.01	0.82	0.96	-0.07	0.95	1.06	0.8	1.03
Map6	0.77	0.82	0.87	-0.06	1.1	0.92	0.85	0.97
Ctnnd1	1.23	0.82	0.91	0.26	1	0.94	1.16	0.89
Bckdha	1.04	1.23	1.2	0.4	1.02	0.96	1.39	0.93
Dnajc21	0.99	0.82	1.09	-0.07	0.9	0.98	0.88	1
Sec24b	0.87	0.82	1.12	-0.1	0.89	0.94	0.91	0.93
Aqp7	1	1.23	1.08	0.03	1.14	1	0.96	1.11
Cul5	0.9	0.82	0.85	-0.06	1.12	1	0.98	0.86
Bsg	1.27	1.23	1.52	0.4	0.99	0.79	2.43	0.87
Serpinf1	1.22	1.23	0.97	0.09	1.06	0.98	1.19	1.15
Mb	1.1	1.23	1	0.28	0.9	0.86	1.16	1.43
Ociad2	1.16	1.23	1.26	0.52	1.24	1.15	1.22	1.36
Pcmt1	1	1.23	1.18	0.16	1.01	1.13	1.16	1.06
Anp32a	1.09	0.83	1.03	-0.02	0.78	0.79	1	1.08
Rgcc	0.96	1.23	0.96	-0.15	1.01	0.83	0.93	0.95
Rad50	0.87	0.83	0.92	0.2	1.01	1.01	1.08	1
Abcd3	1.04	1.23	1.11	0.01	1.14	0.98	0.98	1.12
Edc4	1.33	0.83	1.04	-0.05	0.82	1.05	0.97	0.98
Gcdh	1.1	1.22	0.96	0.05	0.95	0.99	0.83	1.04
Cand2	0.99	0.83	1.05	0.06	1.01	0.92	0.99	0.81
Wasl	0.97	0.83	0.94	0.03	1.01	1	0.86	0.96
Bptf	0.93	0.83	0.69	0.06	0.93	1.01	1.07	0.93
Mrps22	1.19	0.83	1.02	0.21	0.9	0.98	0.98	1.12
Dip2b	0.83	0.83	1.07	-0.19	1.2	1.12	1	1.04
Mtm1	1.27	1.22	1.21	0.13	1.02	0.99	1.04	1.02
Coq8a	1.04	0.83	0.98	0.09	1.02	0.98	0.69	1.1
Esyt2	1.09	1.22	1.34	-0.17	0.94	0.98	0.86	1
Hspa1b	1.13	1.22	1.1	0.31	0.7	1.19	3	0.95
Rrs1	0.95	1.22	0.99	-0.26	1.11	1.24	0.68	0.92
Atp5mc3	1.32	1.22	1.4	0.86	0.97	0.83	2.27	0.87
Bnip3	0.77	0.83	0.97	0.14	0.93	1.7	1.43	0.98
Nol3	0.65	0.83	1.02	0.64	0.9	1.21	0.94	1.1
Rrp12	1.09	1.21	1.1	-0.25	1.1	1.37	1.16	1.08
Dach1	0.98	1.21	1.03	-0.02	1.06	1.17	0.77	0.94
Myot	0.92	1.21	1.06	0.16	1.28	1.07	1.35	0.91
Sucla2	1.29	1.21	1.05	0.16	0.79	0.9	0.84	1.26
Slc25a42	1.11	1.21	1.16	0.09	0.98	1.1	1.04	1.13
Atp5f1e	1.44	1.21	1.53	0.91	1.01	0.85	2.82	0.8
Ckm	1.03	1.21	1.22	0.08	0.76	1.72	1.41	1.22
Mtatp6	0.58	1.21	1.43	0.84	1.16	1.22	2.01	1.05
Mtco2	1.1	0.84	1.35	0.37	1.06	0.89	1.37	0.88
Ndufa4	1.15	0.84	1.05	0.13	0.98	0.97	0.96	1.08
Slc2a4	1.1	0.84	1.11	-0.12	0.9	0.95	1.2	1.09
Ppp1cc	0.87	1.21	0.74	0	0.93	0.96	1.13	1.04
Ehd3	1.14	1.21	1.16	-0.37	0.97	0.95	0.98	0.9
Aak1	1.06	0.84	1.02	-0.06	0.75	1.01	1.01	0.94
Bag6	1.19	1.21	1.53	-0.18	1.09	0.57	0.86	1.08
Ppp2r5a	1.19	1.21	1.23	-0.01	0.77	1.02	1.24	1.23
Nt5dc3	1.09	0.84	1.11	0.16	0.98	0.98	1.01	1.12
Pf4	1.22	0.84	0.91	1.01	0.63	0.78	0.74	1.08
Rab1b	1.02	1.21	1.34	0.17	1	1.16	1.74	0.9
Sympk	1.04	0.84	1.09	0.17	1.05	1.11	0.81	1.05
Smim20	1.06	0.84	1.2	0.28	0.98	0.9	1	1
Igf2bp2	1.01	1.21	0.9	-0.23	0.89	0.82	0.68	1.05
Kbtbd12	1	1.21	1.12	0.06	1.22	1.09	0.9	1.04
Slc8a1	1.14	1.2	1.19	0	1.05	1.07	1.21	1.02
Hrc	1.2	0.84	1.06	0.13	0.85	0.81	1.17	1.23
Fam162a	1.02	0.84	1.02	0.13	0.94	0.94	1.21	0.99
Rbm24	0.99	0.84	0.99	0.11	0.92	0.71	1.05	1.06
Hexb	1.09	0.84	1.29	0.35	1.35	0.92	1.25	1.11
Igkv12.41	1.01	1.2	1.08	0.56	2.44	2.32	1.26	0.7
Hhatl	1.02	1.2	1.23	0.23	1.02	0.97	1.06	1.14
Gja1	0.84	0.84	0.93	-0.2	0.94	0.88	0.81	1.08
Acad11	0.99	1.2	1.12	0.09	1.08	1	0.91	1.06
Art3	0.9	1.2	1.1	-0.04	0.9	0.8	1.22	0.83
Adamtsl4	1.1	0.84	0.84	0.03	1.03	0.88	1.04	1.18
Vdac2	0.95	0.84	1.16	0.23	1.04	0.92	1.17	0.88
Myom3	1.16	0.84	0.93	0.26	0.91	0.85	2.61	1.08
Gc	1.48	1.2	1.12	0.37	1.15	1.4	1.73	1.32
Got2	1.23	1.2	0.99	0.31	0.86	0.8	0.89	1.35
Vdac3	0.96	0.85	1.2	0.25	1.04	0.92	1.16	0.89
Aifm2	1.2	1.2	1	0.07	0.96	1.06	0.96	1.1
Coa3	1.04	0.85	0.99	0.22	1	0.95	1.38	0.99
Cap1	1.08	1.2	1.13	0.47	0.74	0.89	1.41	1.06
Thoc6	0.95	0.85	0.94	-0.06	1.08	1.02	0.96	0.93
Hspb7	1	1.2	1.08	-0.04	1	1.08	1.37	1.04
Slc25a5	1.04	0.85	1.1	-0.01	0.97	0.97	0.96	1.04
Ifi205a	1.92	1.2	1.71	0.16	1.48	1.46	2.08	1.1
Lmcd1	1.14	1.2	0.95	0.08	1.02	1	1.31	1.07
Bag3	0.99	1.2	1.04	-0.03	1.04	1.14	1.13	0.96
Pcyt1a	0.97	0.85	0.94	-0.28	0.78	0.97	0.89	1.2
Myl2	0.98	1.2	1.01	0.06	1.17	1.05	1.11	0.89
Spag9	0.84	1.2	1.12	0.01	1.13	1.07	1.02	0.97
Mrps7	1.28	0.85	1.29	0.2	0.96	1.07	1.07	1.12
Ahnak	0.91	0.85	0.89	-0.13	0.96	1	0.78	0.95
Dek	1.02	0.85	1.02	-0.33	0.97	1.05	1.02	1.1
Plg	1.49	1.19	1.13	0.45	1.26	1.62	1.24	1.17
Lrpprc	1.07	0.85	1.09	0.23	0.96	0.84	0.93	1
Abce1	0.98	0.85	0.99	0.18	1.07	0.89	0.9	0.95
Angptl2	0.97	0.85	0.78	0.26	0.76	0.87	1.05	0.96
Pym1	1	0.85	1.13	0.02	0.97	0.87	1	1.03
Cav3	1.09	1.19	1.15	0.06	1.16	0.99	1.29	0.9
Rtn2	1.27	0.85	0.95	-0.14	1.08	0.84	0.64	0.84
Ints5	0.89	1.19	1	0.03	0.98	1.15	0.86	1.11
Nop2	0.87	0.85	0.77	0.06	0.79	1.05	1.18	0.91
Tmem245	0.89	1.19	1.24	0.16	0.97	0.87	0.92	0.79
Hadh	1.43	0.85	1.06	0.78	1.15	0.59	0.65	1.17
Atp5me	1.4	1.19	1.48	0.91	0.98	0.83	2.9	0.85
Armc10	0.91	0.85	1	0.02	0.87	0.88	1.33	1
Sntb1	0.99	0.85	1.03	0.04	0.79	0.82	1.02	1.1
Dpep1	1.05	1.19	1.24	0	0.97	1.15	1.12	1.49
Atp5h	1.47	1.19	1.46	0.86	0.94	0.82	2.82	0.84
Csnk2b	1.07	0.85	0.98	0.08	0.87	0.96	1.02	0.96
Psmc2	0.98	0.85	1.06	-0.1	1.08	0.97	1.06	0.84
Prkaca	0.86	0.85	1.07	-0.47	1.07	1.04	0.85	0.79
Etfdh	1.18	1.19	0.97	0.35	0.87	0.9	1.07	1.41
Atp5po	1.48	1.19	1.48	0.8	0.98	0.85	2.57	0.87
Col6a6	1.22	1.19	1.1	0.21	1.07	0.95	0.93	1.19
Gm11273	1.07	0.86	1.4	0.38	1	0.91	1.45	0.87
Epb42	1.53	1.19	1.42	0.86	0.46	0.81	2.2	1.68
Hsd17b4	1.04	1.19	1.15	0.08	1.12	0.98	0.93	1.12
Rab21	0.99	1.19	1.1	0.04	1.07	0.9	1.14	0.86
Ndufab1	1.07	0.86	1.55	0.53	1.07	0.86	1.77	0.84
Lsm4	0.93	0.86	0.88	-0.21	0.9	1.03	0.94	0.94
Dhrs4	1.09	1.19	0.99	-0.14	0.97	1.14	0.78	1.07
Dmtn	1.36	1.19	1.02	0.33	0.79	0.88	1.31	1.35
Pum1	0.91	0.86	1.06	-0.02	1.06	0.83	1.26	0.97
Csnk1e	0.92	1.18	0.98	0.01	1.02	0.86	1.03	0.9
Mrpl51	1.34	0.86	1.1	0.37	0.93	1.04	1.34	1.24
Mfn1	1.13	1.18	1.08	0.18	1.07	0.86	1.23	0.89
Phip	0.96	1.18	0.89	-0.15	0.95	1.07	0.74	1.02
Rab1a	1.22	1.18	1.25	0.47	1.02	0.91	2.31	0.93
Wipf3	0.91	0.86	0.88	-0.07	1.22	1.1	0.86	0.79
Eif3d	1.05	0.86	1	0.11	0.86	0.89	1.09	0.92
Slc27a1	1.13	1.18	1.09	-0.07	0.96	0.97	0.83	1.07
Egln1	0.98	0.86	0.91	0.17	1.14	1.05	0.82	0.97
Rbm5	0.93	1.18	0.87	-0.24	0.93	1.14	0.75	0.97
Vps28	1.02	0.86	1	-0.01	1	1	1.05	0.98
Tinagl1	1.04	1.18	1.16	-0.01	1	1.04	0.99	1.06
Cox6c	1.06	0.86	1.32	0.4	0.98	0.89	1.53	0.9
Psmc6	0.89	0.86	1.25	-0.23	1.15	0.99	1.08	0.98
Txnrd2	1.02	1.18	1.25	0.07	1.08	1.09	1.01	1.04
Atp5l	1.38	1.18	1.48	0.87	0.99	0.86	2.88	0.9
Ccdc51	1.01	0.86	1.12	0.22	0.98	0.9	1.21	0.91
Vdac1	1	0.86	1.27	0.4	1.04	0.88	1.42	0.85
Nemf	1	1.18	1.18	-0.01	1.09	1.05	0.84	1.02
Lias	1	0.86	0.91	-0.11	1.05	1.15	0.9	1.07
Brd4	0.9	1.18	0.93	-0.31	1	1.09	0.79	1.03
Atp5f1b	1.42	1.18	1.49	0.87	0.98	0.86	2.97	0.83
Ap1m1	1.08	0.86	0.96	0.04	0.81	0.97	1.1	1.02
Slc25a35	1.02	0.86	0.91	0.23	0.94	1	1.09	1.2
Mrps5	1.31	0.86	1.14	0.21	0.94	0.94	1.08	1.1
Smarca2	0.98	0.86	1.58	-0.02	1	0.97	0.83	0.97
Srek1	0.99	1.18	0.85	-0.49	1.11	1.04	1.02	0.94
Igf2r	1	1.18	1.05	-0.15	0.8	0.99	1.15	0.96
Usp9x	0.91	0.86	0.93	-0.12	0.94	0.91	1	0.98
Slc20a2	1.05	1.18	0.97	0.06	1.04	0.97	1.02	1.02
Wdr36	0.98	0.87	0.89	0.1	0.9	1.21	0.92	1.02
Bdh1	1.17	0.87	1.12	0.68	1.1	1.82	1.35	0.99
Cep170	0.98	0.87	1.87	-0.01	0.97	1.05	1.15	1.11
Coq5	0.9	0.87	1.02	0.91	0.88	0.71	1.14	1.03
NA.	1.15	0.87	0.87	-0.13	0.85	1	1.17	1
Cnn1	1.03	0.87	1.15	0.08	0.87	0.74	1.03	1.08
Mpp7	0.91	0.87	0.98	-0.12	1	0.94	0.88	0.97
Hectd4	1.07	1.17	1.04	-0.02	1.06	1.1	0.93	0.96
Ankle2	1.01	1.17	0.99	-0.08	0.98	0.96	1.11	0.98
Slc25a51	0.99	1.17	1.29	-0.04	1.03	1	1.03	1.14
Fam210a	1.09	0.87	1.1	0.02	0.95	1.06	1.1	1.14
Micu1	1.06	1.17	0.97	0.12	1.01	0.91	1.19	1.04
Kpna1	1.09	0.87	0.91	-0.17	0.83	0.98	1.11	1.07
Cox6b1	1.08	0.87	1.37	0.36	1.01	0.88	1.43	0.88
Atp5f1d	1.53	1.17	1.47	0.92	0.93	0.84	3	0.8
Gata4	0.82	1.17	0.88	0.09	1	1.04	0.92	0.93
Ppp1r10	0.85	0.87	0.94	-0.25	1.12	1.04	0.88	0.94
Prdx3	1.08	1.17	1.11	-0.21	1.02	0.96	0.94	1.11
Pdlim1	1.01	1.17	1.2	0.19	1.12	0.97	1.37	0.88
Wipf1	1.16	0.87	0.86	0.18	0.73	0.97	0.89	0.98
Myh11	1.13	0.87	1.03	-0.13	0.93	0.83	0.87	1.04
Dcakd	1	1.17	1.13	-0.35	0.91	1.04	1.04	0.99
Cma1	0.93	1.17	0.85	-0.08	1.97	1.09	0.86	0.82
Mrps30	1.01	0.87	0.95	0.09	0.91	0.9	1.18	1.1
Pacsin2	1.19	1.17	1.27	0.34	0.95	1.06	1.22	1.11
RtcA	1.01	0.87	1.04	0.04	0.98	0.76	1.12	1.1
Ndufa2	1.13	0.87	1.41	0.46	1.02	0.89	1.6	0.85
Prdx1	1.09	0.87	0.88	0.1	1.01	1	0.45	1.05
Myl6b	1	1.17	1.17	-0.33	1.14	1.15	0.78	0.93
Erlin1	1.09	1.17	1.03	0.02	1.11	1.22	1.24	0.89
Ssbp1	1.05	0.87	1.06	0.02	0.96	1.02	0.96	1.04
Myh13	0.85	1.17	0.98	-0.16	1.07	1.06	0.8	0.95
Aldoa	0.94	0.87	0.98	0.2	1.13	0.96	0.92	0.91
Mapkapk2	1.02	0.87	1.31	0.09	1.11	1.12	0.99	0.96
Cox4i1	1.08	0.87	1.43	0.41	1.04	0.88	1.5	0.87
Nfia	0.94	1.17	1.03	-0.29	0.91	1.05	0.8	0.93
Col8a1	1.08	1.17	1.07	0.33	0.91	1.09	1.17	1.15
Ank1	1.2	1.17	1.03	0.29	0.96	1.09	1.35	1.2
Nedd4	1.25	0.87	1.04	0.06	0.93	1.3	0.76	0.92
Psma2	0.96	0.88	1.01	0.07	1.01	0.93	1.08	0.93
Etfa	1.14	1.16	1.01	0.23	0.95	0.87	0.97	1.17
Cpa3	0.92	1.16	0.87	-0.04	1.11	1.03	0.89	0.84
Golga2	0.96	1.16	0.99	0	0.83	1.13	1.21	0.99
Picalm	1.01	0.88	0.97	0	1.02	0.92	0.98	0.92
Sec24c	1	0.88	1.24	-0.14	0.84	0.9	1.05	1.01
Ecpas	1.05	0.88	0.99	0.12	0.94	0.91	0.94	1.04
Sgcd	1	1.16	1	-0.17	1.05	1.01	1.03	0.99
Myh15	1.17	0.88	0.8	0.31	0.86	0.91	0.75	0.97
Atp5f1a	1.43	1.16	1.47	0.86	0.98	0.86	2.69	0.86
Atp5f1	1.4	1.16	1.45	0.85	0.98	0.83	2.47	0.87
Letm1	1.05	1.16	1.06	-0.14	1.04	1	1.05	0.97
Mtnd3	1.13	0.88	1.4	0.61	1.04	0.76	1.35	0.83
Tmem126a	1.02	0.88	1.05	0.17	1	1.03	1.21	1.04
Grsf1	1.08	0.88	1.11	0.05	0.96	0.96	0.97	0.97
Cebpzos	1.02	0.88	0.91	-0.03	0.93	1.21	0.9	1.05
Obsl1	1.11	0.88	0.91	-0.29	0.95	0.91	0.74	1.08
Cd151	0.97	1.16	0.99	0.05	1.04	1.18	1.67	1.11
Myh10	1.03	0.88	0.87	-0.06	0.91	0.88	0.92	0.97
Jph1	0.96	1.16	1.09	-0.16	1.05	0.98	0.87	1.06
Dnajc7	1.18	1.16	1.07	-0.12	0.99	1.07	1.29	1.08
Rasal2	0.79	1.16	0.98	-0.19	1.03	1.03	0.81	1.08
Nes	1.06	0.88	0.91	0.09	0.94	0.81	1.1	1.02
Wtap	1.05	0.88	0.81	-0.03	0.89	1.13	0.92	1.07
Asb2	0.82	1.16	1.02	-0.28	1	1.14	1.04	1.02
Rer1	0.9	0.88	2.52	0.17	1.11	0.98	0.89	1.01
Psmd1	0.91	0.88	0.99	-0.07	1	0.94	1.05	0.89
Smyd1	0.95	1.16	1.04	-0.01	1.14	1.03	0.96	0.99
